,area,item,amount [t],comm_group,group
259,Algeria,"Camelids, other",0.0,Live animals,Livestock
260,Algeria,Camels,45376.01336686841,Live animals,Livestock
261,Algeria,Cassava and products,1987.232139070087,Roots and tubers,Primary crops
262,Algeria,Cattle,637412.7883806316,Live animals,Livestock
263,Algeria,"Cereals, Other",7028.609053453192,Cereals,Primary crops
264,Algeria,"Citrus, Other",1000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
265,Algeria,Cloves,1999.9999999999995,"Vegetables, fruit, nuts, pulses, spices",Primary crops
266,Algeria,Cocoa Beans and products,1982.0354611558862,"Coffee, tea, cocoa",Primary crops
267,Algeria,Coconut Oil,1911.3286816446816,Vegetable oils,Crop products
268,Algeria,Coconuts - Incl Copra,999.38032416344,Oil crops,Primary crops
269,Algeria,Coffee and products,84997.12200125384,"Coffee, tea, cocoa",Primary crops
270,Algeria,Copra Cake,86.66899246157797,Oil cakes,Crop products
271,Algeria,Cotton lint,7945.387296641152,Fibre crops,Crop products
272,Algeria,Cottonseed,54.0,Fibre crops,Crop products
273,Algeria,Cottonseed Cake,35.85940666985027,Oil cakes,Crop products
274,Algeria,Cottonseed Oil,0.0,Vegetable oils,Crop products
275,Algeria,Dates,1152000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
276,Algeria,Eggs,289658.16524451284,Eggs,Livestock products
277,Algeria,"Fats, Animals, Raw",11924.951633340157,Animal fats,Livestock products
278,Algeria,"Fish, Seafood",108267.29832037084,Fish,Fish
279,Algeria,Fodder crops,4094070.5140631963,Fodder crops,Primary crops
280,Algeria,"Fruits, Other",962684.9654893721,"Vegetables, fruit, nuts, pulses, spices",Primary crops
281,Algeria,Goats,1836895.7997805444,Live animals,Livestock
282,Algeria,Grapefruit and products,2000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
283,Algeria,Grapes and products (excl wine),583325.9173085719,"Vegetables, fruit, nuts, pulses, spices",Primary crops
284,Algeria,Grazing,22232517.0,Grazing,Primary crops
285,Algeria,Groundnut Cake,32775.27402247909,Oil cakes,Crop products
286,Algeria,Groundnut Oil,29289.789117496963,Vegetable oils,Crop products
287,Algeria,Groundnuts,100439.5962930656,Oil crops,Primary crops
288,Algeria,"Hard Fibres, Other",0.0,Fibre crops,Primary crops
289,Algeria,Hides and skins,73219.7015618515,"Hides, skins, wool",Livestock products
290,Algeria,Honey,5000.0,Honey,Livestock products
291,Algeria,Hops,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
292,Algeria,Horses,2717.048262909015,Live animals,Livestock
293,Algeria,Jute,0.0,Fibre crops,Primary crops
294,Algeria,Jute-Like Fibres,0.0,Fibre crops,Primary crops
295,Algeria,"Lemons, Limes and products",85000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
296,Algeria,Maize Germ Oil,473.3315039250584,Vegetable oils,Crop products
297,Algeria,Maize and products,4759259.362386522,Cereals,Primary crops
298,Algeria,"Meat, Other",15481.748704974123,Meat,Livestock products
299,Algeria,Milk - Excluding Butter,3551440.6437610225,Milk,Livestock products
300,Algeria,Millet and products,5005.491099965658,Cereals,Primary crops
301,Algeria,Mules,0.0,Live animals,Livestock
302,Algeria,Mutton & Goat Meat,353521.0006394138,Meat,Livestock products
303,Algeria,Nuts and products,81209.38329954706,"Vegetables, fruit, nuts, pulses, spices",Primary crops
304,Algeria,Oats,83633.4605336913,Cereals,Primary crops
305,Algeria,"Offals, Edible",67336.71170768276,Meat,Livestock products
306,Algeria,"Oil, palm fruit",0.0,Oil crops,Primary crops
307,Algeria,"Oilcrops Oil, Other",89540.55762513913,Vegetable oils,Crop products
308,Algeria,"Oilcrops, Other",3140.115995842956,Oil crops,Primary crops
309,Algeria,"Oilseed Cakes, Other",0.0,Oil cakes,Crop products
310,Algeria,Olive Oil,122000.00000000001,Vegetable oils,Crop products
311,Algeria,Olives (including preserved),1080000.0,Oil crops,Primary crops
312,Algeria,Onions,1666000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
313,Algeria,"Oranges, Mandarines",1488005.999831255,"Vegetables, fruit, nuts, pulses, spices",Primary crops
314,Algeria,Palm Oil,98808.11121031121,Vegetable oils,Crop products
315,Algeria,Palm kernels,0.0,Oil crops,Crop products
316,Algeria,Palmkernel Cake,18.83079635953013,Oil cakes,Crop products
